GeneStableID	GeneName
ENSG00000171223	JUNB
ENSG00000130522	JUND
ENSG00000105610	KLF1
ENSG00000155090	KLF10
ENSG00000172059	KLF11
ENSG00000118922	KLF12
ENSG00000275746	KLF13
ENSG00000169926	KLF13
ENSG00000266265	KLF14
ENSG00000163884	KLF15
ENSG00000129911	KLF16
ENSG00000171872	KLF17
ENSG00000127528	KLF2
ENSG00000109787	KLF3
ENSG00000136826	KLF4
ENSG00000102554	KLF5
ENSG00000067082	KLF6
ENSG00000118263	KLF7
ENSG00000102349	KLF8
ENSG00000119138	KLF9
ENSG00000138136	LBX1
ENSG00000179528	LBX2
ENSG00000138795	LEF1
ENSG00000274577	LHX1
ENSG00000273706	LHX1
ENSG00000106689	LHX2
ENSG00000107187	LHX3
ENSG00000089116	LHX5
ENSG00000106852	LHX6
ENSG00000143355	LHX9
ENSG00000162761	LMX1A
ENSG00000136944	LMX1B
ENSG00000104903	LYL1
ENSG00000178573	MAF
ENSG00000182759	MAFA
ENSG00000204103	MAFB
ENSG00000185022	MAFF
ENSG00000197063	MAFG
ENSG00000198517	MAFK
ENSG00000125952	MAX
ENSG00000103495	MAZ
ENSG00000134046	MBD2
ENSG00000085276	MECOM
ENSG00000169057	MECP2
ENSG00000068305	MEF2A
ENSG00000213999	MEF2B
ENSG00000081189	MEF2C
ENSG00000116604	MEF2D
ENSG00000143995	MEIS1
ENSG00000134138	MEIS2
ENSG00000105419	MEIS3
ENSG00000005102	MEOX1
ENSG00000106511	MEOX2
ENSG00000174197	MGA
ENSG00000187098	MITF
ENSG00000185155	MIXL1
ENSG00000108788	MLX
ENSG00000009950	MLXIPL
ENSG00000070444	MNT
ENSG00000130675	MNX1
ENSG00000066697	MSANTD3
ENSG00000178860	MSC
ENSG00000151379	MSGN1
ENSG00000163132	MSX1
ENSG00000120149	MSX2
ENSG00000188786	MTF1
ENSG00000119950	MXI1
ENSG00000118513	MYB
ENSG00000185697	MYBL1
ENSG00000101057	MYBL2
ENSG00000136997	MYC
ENSG00000134323	MYCN
ENSG00000111049	MYF5
ENSG00000111046	MYF6
ENSG00000129152	MYOD1
ENSG00000122180	MYOG
ENSG00000099326	MZF1
ENSG00000111704	NANOG
ENSG00000162992	NEUROD1
ENSG00000171532	NEUROD2
ENSG00000181965	NEUROG1
ENSG00000178403	NEUROG2
ENSG00000131196	NFATC1
ENSG00000101096	NFATC2
ENSG00000072736	NFATC3
ENSG00000285485	NFATC4
ENSG00000100968	NFATC4
ENSG00000123405	NFE2
ENSG00000082641	NFE2L1
ENSG00000116044	NFE2L2
ENSG00000162599	NFIA
ENSG00000147862	NFIB
ENSG00000141905	NFIC
ENSG00000165030	NFIL3
ENSG00000008441	NFIX
ENSG00000109320	NFKB1
ENSG00000077150	NFKB2
ENSG00000001167	NFYA
ENSG00000120837	NFYB
ENSG00000066136	NFYC
ENSG00000171786	NHLH1
ENSG00000177551	NHLH2
ENSG00000136352	NKX2-1
ENSG00000125820	NKX2-2
ENSG00000119919	NKX2-3
ENSG00000125816	NKX2-4
ENSG00000183072	NKX2-5
ENSG00000136327	NKX2-8
ENSG00000167034	NKX3-1
ENSG00000109705	NKX3-2
ENSG00000163623	NKX6-1
ENSG00000148826	NKX6-2
ENSG00000165066	NKX6-3
ENSG00000285328	NOBOX
ENSG00000106410	NOBOX
ENSG00000214513	NOTO
ENSG00000126368	NR1D1
ENSG00000174738	NR1D2
ENSG00000131408	NR1H2
ENSG00000025434	NR1H3
ENSG00000012504	NR1H4
ENSG00000144852	NR1I2
ENSG00000143257	NR1I3
ENSG00000120798	NR2C1
ENSG00000177463	NR2C2
ENSG00000278570	NR2E3
ENSG00000175745	NR2F1
ENSG00000185551	NR2F2
ENSG00000160113	NR2F6
ENSG00000113580	NR3C1
ENSG00000151623	NR3C2
ENSG00000123358	NR4A1
ENSG00000153234	NR4A2
ENSG00000136931	NR5A1
ENSG00000116833	NR5A2
ENSG00000148200	NR6A1
ENSG00000106459	NRF1
ENSG00000285493	NRL
ENSG00000129535	NRL
ENSG00000184221	OLIG1
ENSG00000205927	OLIG2
ENSG00000177468	OLIG3
ENSG00000169856	ONECUT1
ENSG00000119547	ONECUT2
ENSG00000205922	ONECUT3
ENSG00000143867	OSR1
ENSG00000164920	OSR2
ENSG00000115507	OTX1
ENSG00000165588	OTX2
ENSG00000172818	OVOL1
ENSG00000125850	OVOL2
ENSG00000100105	PATZ1
ENSG00000125813	PAX1
ENSG00000075891	PAX2
ENSG00000135903	PAX3
ENSG00000106331	PAX4
ENSG00000196092	PAX5
ENSG00000007372	PAX6
ENSG00000009709	PAX7
ENSG00000198807	PAX9
ENSG00000185630	PBX1
ENSG00000225987	PBX2
ENSG00000236353	PBX2
ENSG00000232005	PBX2
ENSG00000224952	PBX2
ENSG00000206315	PBX2
ENSG00000237344	PBX2
ENSG00000204304	PBX2
ENSG00000167081	PBX3
ENSG00000139515	PDX1
ENSG00000082175	PGR
ENSG00000165462	PHOX2A
ENSG00000109132	PHOX2B
ENSG00000069011	PITX1
ENSG00000164093	PITX2
ENSG00000107859	PITX3
ENSG00000160199	PKNOX1
ENSG00000165495	PKNOX2
ENSG00000181690	PLAG1
ENSG00000126003	PLAGL2
ENSG00000064835	POU1F1
ENSG00000143190	POU2F1
ENSG00000028277	POU2F2
ENSG00000137709	POU2F3
ENSG00000185668	POU3F1
ENSG00000184486	POU3F2
ENSG00000198914	POU3F3
ENSG00000196767	POU3F4
ENSG00000152192	POU4F1
ENSG00000151615	POU4F2
ENSG00000091010	POU4F3
ENSG00000233911	POU5F1
ENSG00000206454	POU5F1
ENSG00000230336	POU5F1
ENSG00000237582	POU5F1
ENSG00000229094	POU5F1
ENSG00000235068	POU5F1
ENSG00000204531	POU5F1
ENSG00000212993	POU5F1B
ENSG00000184271	POU6F1
ENSG00000106536	POU6F2
ENSG00000186951	PPARA
ENSG00000112033	PPARD
ENSG00000132170	PPARG
ENSG00000057657	PRDM1
ENSG00000147596	PRDM14
ENSG00000110851	PRDM4
ENSG00000061455	PRDM6
ENSG00000164256	PRDM9
ENSG00000274382	PROP1
ENSG00000280635	PROP1
ENSG00000175325	PROP1
ENSG00000117707	PROX1
ENSG00000116132	PRRX1
ENSG00000167157	PRRX2
ENSG00000168267	PTF1A
ENSG00000131759	RARA
ENSG00000077092	RARB
ENSG00000172819	RARG
ENSG00000134438	RAX
ENSG00000173976	RAX2
ENSG00000168214	RBPJ
ENSG00000162924	REL
ENSG00000173039	RELA
ENSG00000104856	RELB
ENSG00000084093	REST
ENSG00000288283	RFX1
ENSG00000132005	RFX1
ENSG00000087903	RFX2
ENSG00000080298	RFX3
ENSG00000111783	RFX4
ENSG00000143390	RFX5
ENSG00000181827	RFX7
ENSG00000101883	RHOXF1
ENSG00000069667	RORA
ENSG00000198963	RORB
ENSG00000143365	RORC
ENSG00000124782	RREB1
ENSG00000159216	RUNX1
ENSG00000124813	RUNX2
ENSG00000020633	RUNX3
ENSG00000186350	RXRA
ENSG00000231321	RXRB
ENSG00000235712	RXRB
ENSG00000228333	RXRB
ENSG00000227322	RXRB
ENSG00000206289	RXRB
ENSG00000204231	RXRB
ENSG00000143171	RXRG
ENSG00000101115	SALL4
ENSG00000182568	SATB1
ENSG00000284923	SCRT1
ENSG00000261678	SCRT1
ENSG00000215397	SCRT2
ENSG00000185960	SHOX
ENSG00000169375	SIN3A
ENSG00000126778	SIX1
ENSG00000170577	SIX2
ENSG00000177045	SIX5
ENSG00000175387	SMAD2
ENSG00000166949	SMAD3
ENSG00000141646	SMAD4
ENSG00000113658	SMAD5
ENSG00000102038	SMARCA1
ENSG00000153147	SMARCA5
ENSG00000124216	SNAI1
ENSG00000019549	SNAI2
ENSG00000185669	SNAI3
ENSG00000120669	SOHLH2
ENSG00000100146	SOX10
ENSG00000177732	SOX12
ENSG00000143842	SOX13
ENSG00000168875	SOX14
ENSG00000129194	SOX15
ENSG00000164736	SOX17
ENSG00000203883	SOX18
ENSG00000181449	SOX2
ENSG00000125285	SOX21
ENSG00000134595	SOX3
ENSG00000124766	SOX4
ENSG00000134532	SOX5
ENSG00000005513	SOX8
ENSG00000125398	SOX9
ENSG00000185591	SP1
ENSG00000167182	SP2
ENSG00000172845	SP3
ENSG00000105866	SP4
ENSG00000204335	SP5
ENSG00000164651	SP8
ENSG00000217236	SP9
ENSG00000124664	SPDEF
ENSG00000066336	SPI1
ENSG00000269404	SPIB
ENSG00000166211	SPIC
ENSG00000072310	SREBF1
ENSG00000198911	SREBF2
ENSG00000112658	SRF
ENSG00000184895	SRY
ENSG00000115415	STAT1
ENSG00000170581	STAT2
ENSG00000168610	STAT3
ENSG00000138378	STAT4
ENSG00000126561	STAT5A
ENSG00000173757	STAT5B
ENSG00000166888	STAT6
ENSG00000147133	TAF1
ENSG00000162367	TAL1
ENSG00000112592	TBP
ENSG00000136535	TBR1
ENSG00000184058	TBX1
ENSG00000092607	TBX15
ENSG00000112837	TBX18
ENSG00000143178	TBX19
ENSG00000121068	TBX2
ENSG00000164532	TBX20
ENSG00000073861	TBX21
ENSG00000135111	TBX3
ENSG00000121075	TBX4
ENSG00000089225	TBX5
ENSG00000149922	TBX6
ENSG00000164458	TBXT
ENSG00000140262	TCF12
ENSG00000118526	TCF21
ENSG00000071564	TCF3
ENSG00000196628	TCF4
ENSG00000081059	TCF7
ENSG00000152284	TCF7L1
ENSG00000148737	TCF7L2
ENSG00000101190	TCFL5
ENSG00000187079	TEAD1
ENSG00000074219	TEAD2
ENSG00000007866	TEAD3
ENSG00000197905	TEAD4
ENSG00000167074	TEF
ENSG00000137203	TFAP2A
ENSG00000008196	TFAP2B
ENSG00000087510	TFAP2C
ENSG00000116819	TFAP2E
ENSG00000090447	TFAP4
ENSG00000135457	TFCP2
ENSG00000198176	TFDP1
ENSG00000068323	TFE3
ENSG00000112561	TFEB
ENSG00000105967	TFEC
ENSG00000177426	TGIF1
ENSG00000118707	TGIF2
ENSG00000153779	TGIF2LX
ENSG00000176679	TGIF2LY
ENSG00000131931	THAP1
ENSG00000168286	THAP11
ENSG00000126351	THRA
ENSG00000151090	THRB
ENSG00000107807	TLX1
ENSG00000115297	TLX2
ENSG00000141510	TP53
ENSG00000073282	TP63
ENSG00000078900	TP73
ENSG00000130726	TRIM28
ENSG00000104447	TRPS1
ENSG00000122691	TWIST1
ENSG00000164853	UNCX
ENSG00000158773	USF1
ENSG00000105698	USF2
ENSG00000148704	VAX1
ENSG00000116035	VAX2
ENSG00000111424	VDR
ENSG00000151650	VENTX
ENSG00000136451	VEZF1
ENSG00000100987	VSX1
ENSG00000119614	VSX2
ENSG00000184937	WT1
ENSG00000100219	XBP1
ENSG00000100811	YY1
ENSG00000230797	YY2
ENSG00000214717	ZBED1
ENSG00000177494	ZBED2
ENSG00000206366	ZBTB12
ENSG00000234852	ZBTB12
ENSG00000234196	ZBTB12
ENSG00000237900	ZBTB12
ENSG00000204366	ZBTB12
ENSG00000198081	ZBTB14
ENSG00000116809	ZBTB17
ENSG00000179456	ZBTB18
ENSG00000171448	ZBTB26
ENSG00000011590	ZBTB32
ENSG00000177485	ZBTB33
ENSG00000204859	ZBTB48
ENSG00000186130	ZBTB6
ENSG00000178951	ZBTB7A
ENSG00000160685	ZBTB7B
ENSG00000184828	ZBTB7C
ENSG00000148516	ZEB1
ENSG00000142065	ZFP14
ENSG00000196867	ZFP28
ENSG00000179059	ZFP42
ENSG00000227858	ZFP57
ENSG00000223852	ZFP57
ENSG00000226858	ZFP57
ENSG00000234669	ZFP57
ENSG00000223858	ZFP57
ENSG00000232099	ZFP57
ENSG00000206510	ZFP57
ENSG00000204644	ZFP57
ENSG00000181007	ZFP82
ENSG00000005889	ZFX
ENSG00000152977	ZIC1
ENSG00000156925	ZIC3
ENSG00000174963	ZIC4
ENSG00000139800	ZIC5
ENSG00000141946	ZIM3
ENSG00000106261	ZKSCAN1
ENSG00000189298	ZKSCAN3
ENSG00000196652	ZKSCAN5
ENSG00000197961	ZNF121
ENSG00000213762	ZNF134
ENSG00000176293	ZNF135
ENSG00000196646	ZNF136
ENSG00000196387	ZNF140
ENSG00000166478	ZNF143
ENSG00000167635	ZNF146
ENSG00000163848	ZNF148
ENSG00000170631	ZNF16
ENSG00000154957	ZNF18
ENSG00000136870	ZNF189
ENSG00000121417	ZNF211
ENSG00000149050	ZNF214
ENSG00000172466	ZNF24
ENSG00000196150	ZNF250
ENSG00000197134	ZNF257
ENSG00000254004	ZNF260
ENSG00000006194	ZNF263
ENSG00000083844	ZNF264
ENSG00000171606	ZNF274
ENSG00000162702	ZNF281
ENSG00000170265	ZNF282
ENSG00000130803	ZNF317
ENSG00000182986	ZNF320
ENSG00000181315	ZNF322
ENSG00000083812	ZNF324
ENSG00000181894	ZNF329
ENSG00000130844	ZNF331
ENSG00000198026	ZNF335
ENSG00000131061	ZNF341
ENSG00000088876	ZNF343
ENSG00000256683	ZNF350
ENSG00000169131	ZNF354A
ENSG00000177932	ZNF354C
ENSG00000161298	ZNF382
ENSG00000126746	ZNF384
ENSG00000160908	ZNF394
ENSG00000147124	ZNF41
ENSG00000119725	ZNF410
ENSG00000083817	ZNF416
ENSG00000173480	ZNF417
ENSG00000196724	ZNF418
ENSG00000283009	ZNF436
ENSG00000125945	ZNF436
ENSG00000173275	ZNF449
ENSG00000178187	ZNF454
ENSG00000197714	ZNF460
ENSG00000181444	ZNF467
ENSG00000188033	ZNF490
ENSG00000281448	ZNF502
ENSG00000196653	ZNF502
ENSG00000167555	ZNF528
ENSG00000183647	ZNF530
ENSG00000152433	ZNF547
ENSG00000121406	ZNF549
ENSG00000172006	ZNF554
ENSG00000188868	ZNF563
ENSG00000105732	ZNF574
ENSG00000018869	ZNF582
ENSG00000083828	ZNF586
ENSG00000167554	ZNF610
ENSG00000198740	ZNF652
ENSG00000198046	ZNF667
ENSG00000188295	ZNF669
ENSG00000197372	ZNF675
ENSG00000173041	ZNF680
ENSG00000197124	ZNF682
ENSG00000117010	ZNF684
ENSG00000171163	ZNF692
ENSG00000167562	ZNF701
ENSG00000274352	ZNF707
ENSG00000181135	ZNF707
ENSG00000182141	ZNF708
ENSG00000139651	ZNF740
ENSG00000186376	ZNF75D
ENSG00000065029	ZNF76
ENSG00000169957	ZNF768
ENSG00000198146	ZNF770
ENSG00000179922	ZNF784
ENSG00000278129	ZNF8
ENSG00000180257	ZNF816
ENSG00000278091	ZNF85
ENSG00000105750	ZNF85
ENSG00000184635	ZNF93
ENSG00000182318	ZSCAN22
ENSG00000140265	ZSCAN29
ENSG00000235109	ZSCAN31
ENSG00000180532	ZSCAN4
